name,count,sequence_count
"# Total rows in original metadata: 70,899",,
Mammalia.U.genus,122,564
Tubulinea_X.U.genus,121,492
Dino-Group-I-Clade-1_X,116,2072
Lecanoromycetes.U.genus,116,343
Rotifera_XX.U.genus,113,1652
Sawyeria,108,544
Acanthamoeba,104,748
Chromadorea_XX,104,526
Theileria1,101,1221
Penicillium,100,2067
Branchiopoda.U.genus,100,673
Chaetonotus,98,611
Dino-Group-II-Clade-3_X,92,284
Bellemerea,90,667
Kinetoplastea_XXX,90,230
Thaumatomonadida.U.genus,88,597
Euamoebida.U.genus,86,246
Glycine,85,1830
Trypanosoma,85,824
Suctoria_XX,83,403
Allogromiina,83,222
Endostelium,82,179
Dino-Group-II-Clade-1_X,80,328
Cyclotrichium,79,227
Schizoplasmodiidae.U.genus,78,222
Ectocarpus,77,666
Sarcocystis10,76,608
Arcellinida.U.genus,75,271
AND16-lineage_X,75,194
Leidyana2,73,258
Blastocystis,72,618
Mammalia_X,72,159
Russula,71,776
Pristionchus,70,366
Ustanciosporium,69,166
Neocercomonas,69,116
Eimeria1,68,535
Phytophthora,67,1107
Rhizopus,67,969
Scytomonas,66,151
Paramecium,65,547
Arachnida.U.genus,65,128
Danio,65,111
Isaria,64,489
Maxillopoda_X,63,352
Flamella,62,262
Labyrinthula,62,238
Culex,62,345
Coccidiomorphea.U.genus,61,404
Smittium,60,247
Archamoebea.U.genus,58,216
Tetramitia_I_XX,58,319
Rattus,58,114
Mucoromycotina.U.genus,57,363
Bicoecaceae_X,57,469
Caenorhabditis,57,495
Sphaeropleales.U.genus,56,214
Chlorociboria,56,565
Dothideomycetes_X,56,240
Vannella,56,94
Ulva,55,176
Corynespora,55,265
Rigifilida_XXXX.U.genus,54,201
Phryganellina.U.genus,54,135
Neocallimastigomycota_XXX,54,78
Thalassiosirales.U.genus,53,222
Leptomonas,53,327
Peritrichia_2.U.genus,53,322
Spizellomyces,52,167
Tremellomycetes.U.genus,52,151
Picomonas,51,366
Euglenozoa.U.genus,50,204
Cavernomonas,50,92
Mariager-Fjord-lineage_X,50,198
Sey055-lineage_X,50,123
Cryptosporidium1,50,922
Acyrthosiphon,49,436
Aspergillus,48,646
Exophiala,48,94
Echinodermata_XXX,48,349
NPK2-lineage_X,48,137
Trimitus,47,88
Pycnora,46,237
Hartmannellidae.U.genus,46,118
Hartmannella,46,155
Mb5C-lineage_X,46,111
Plasmodiidae.U.genus,45,167
Conus,45,225
Peronosporomycetes_X.U.genus,44,130
Protaspa-lineage_X,44,88
Plasmodium1,44,404
Ustilaginomycotina.U.genus,43,1134
Neobodo,43,74
Trichosporon,42,252
Collophidium,42,87
Novel-Gran-6_X,42,142
Hyaloscypha,40,131
Annelida_XX.U.genus,40,202
Fusiforma,40,96
Nannochloropsis,39,315
Novel-clade-10_XX,38,48
Urotricha,38,128
Stygamoebida_XXX,37,120
Acineta_1,37,104
Kinetoplastea_XX_MET10,37,72
Aureococcus,36,182
Limulus,36,122
Suctoria.U.genus,36,87
Anthoptilum,35,169
Sessilida.U.genus,35,109
Chaos,35,66
Mastigella,34,67
Actinocephalidae.U.genus,34,87
Korotnevella,34,50
Filoreta,34,52
Tokophrya,33,176
Filosa-Thecofilosea.U.genus,33,84
Gromia,33,56
Basidiomycota.U.genus,32,88
Hexamita,32,113
Spinibdella,31,179
LOS7N/I-lineage_X,31,221
Filosa-Sarcomonadea.U.genus,31,82
Physochila,30,151
Arabidopsis,30,32
Bigyra.U.genus,30,244
Rhizophydiales.U.genus,29,107
Candida,29,319
Ptolemeba,29,78
Perkinsida_X.U.genus,29,74
Teratosphaeria,29,32
Physcomitrella,28,50
Discosea_X.U.genus,28,93
Elardia.U.genus,28,49
Tremellomycetes_X,27,282
Gregarina3,27,218
Paradinium,27,43
Gregarinidae.U.genus,27,187
Tholomura,26,77
Gyropaigne,26,100
Trichocladium,25,579
Chlorellales_XX,25,93
Kinetoplastea_XX.U.genus,25,45
Trochilia,25,115
Spadicoides,24,103
Distigma,24,188
Chlamydomonas,23,107
Auxenochlorella,23,524
Kinetoplastea_XX_MET8,23,67
NC12A-lineage_X,22,45
Dinoflagellata.U.genus,22,28
Unclassified_Provorticidae,21,58
Eurytemora,21,89
Glissomonadida.U.genus,21,102
Xiphocephalus,20,39
Coccomyxa,20,87
Paramoeba,20,31
Hemimastix,20,81
Ceratiomyxella,20,54
Babesiidae.U.genus,20,90
Cercomonas,20,57
Schizoplasmodium,20,36
Dino-Group-II-Clade-14_X,19,51
Articulospora,19,62
Diptilomiopus,19,31
Labyrinthulomycetes.U.genus,19,33
Gadixcellia,19,22
Ichthyophthirius,19,444
Centroplasthelida_XXXXX,19,25
Nemogullmia,18,66
Cafeteria,18,75
Zoopagomycota_XXX,18,43
Colpodellida_CHR1_X,18,70
Dino-Group-II-Clade-21_X,17,78
Taphrina,17,80
Taphrinomycotina.U.genus,17,110
Paulinella,17,24
Diplophrys,17,26
Populus,16,126
Encentrum,16,25
Oribatida,16,24
Petalomonas,16,26
Allomyces,16,114
Zymoseptoria,16,52
Sabatieria,16,95
Acanthamoebidae_X,16,22
Amphitrema,16,60
Paracalanus,15,324
Gregarinomorphea.U.genus,15,80
Phialophora,15,31
MAST-12C,15,27
Bathycoccus,15,99
Chloropicon,15,50
Phaeodactylum,15,37
Eudiaptomus,14,901
Nematostella,14,36
Polychaos,14,43
Allobodo,14,30
Dinophyceae_XXX,14,19
Saccharomyces,13,969
Chrysaora,13,32
Leohumicola,13,81
OLIGO2_X,13,158
Cercomonadidae_X,13,26
Rigifila,13,17
Crassostrea,13,29
Neurospora,13,243
Ricinus,13,15
Rhizoclosmatium,12,82
Aphelidium,12,17
Dino-Group-II_XX,12,29
Coemansia,12,40
Chydorus,12,27
Tetrachaetum,12,36
Plagiostomum,12,25
Cercozoa_XXXX,12,21
Spumella,12,14
Micronuclearia,12,28
Mrakia,11,95
Nucleariidae_Nuclearia_2_X,11,30
Tobrilus,11,65
Coccidioides,11,17
Chlorophyceae.U.genus,10,62
Trepomonas,10,23
Coelomomyces,10,29
Reophax,10,34
Psora,10,24
Colletotrichum,10,15
Chloroparva,10,17
Pterocystida_XXX,10,24
Bodo,10,15
Plasmodium2,10,35
Daphnia,10,26
Vampyrella,10,18
Notosolenus,10,15
Evaginogenida_X,9,17
Astrorhiza,9,9
Mitosporidium,9,13
Plectonchus,9,71
Ventrifissura,9,9
Tilletiopsis,8,53
Clavicaudoides,8,142
Kinetoplastea_XX_MET3,8,14
Balamuthia,8,12
Agaricomycetes_X,8,27
