Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Mortierella,4855,6,6,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mortierellomycotina;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella,cellular root;domain;clade;kingdom;no rank;phylum;subphylum;class;order;family;genus,131567;2759;33154;4751;112252;1913637;1137986;2212732;214503;4854;4855
Mrakia,45312,11,95,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Massariaceae;Massaria,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;subclass;order;family;genus,131567;2759;33154;4751;451864;4890;716545;147538;716546;715962;147541;451868;92860;45311;45312
Mucoromycotina.U.genus,5777,57,363,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Euamoebida;Hartmannellidae;Hartmannella,cellular root;domain;clade;phylum;class;order;family;genus,131567;2759;554915;555369;2681632;180229;5776;5777
Mucoromycotina_XX,451507,8,8,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina,cellular root;domain;clade;kingdom;no rank;phylum;subphylum,131567;2759;33154;4751;112252;1913637;451507
NC12A-lineage_X,NA,22,45,,,
NC12B-lineage_X,NA,3,11,,,
NPK2-lineage_X,NA,48,137,,,
Nannochloropsis,5748,39,315,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Nannochloropsis,cellular root;domain;clade;clade;clade;class;order;family;genus,131567;2759;2698737;33634;2696291;5747;425074;425072;5748
Nassellaria.U.genus,2683629,209,918,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa,cellular root;domain;clade;clade;class;clade,131567;2759;2698737;33634;2683628;2683629
Nebulomonas,3004453,1,3,cellular organisms;Eukaryota;Provora;Nebulidia;Nebulidea;Nebulidida;Nebulidae;Nebulomonas,cellular root;domain;clade;phylum;class;order;family;genus,131567;2759;3004206;3004449;3004450;3004451;3004452;3004453
Nematoda.U.genus,6231,1163,5960,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda,cellular root;domain;clade;kingdom;clade;clade;clade;clade;phylum,131567;2759;33154;33208;6072;33213;33317;1206794;6231
Nematostelium,661164,6,8,cellular organisms;Eukaryota;Amoebozoa;Evosea;Variosea;Fractovitellida;Schizoplasmodiidae;Nematostelium,cellular root;domain;clade;phylum;class;order;family;genus,131567;2759;554915;2605435;2605334;2605345;2681886;661164
Nematostella,45350,14,36,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Edwardsiidae;Nematostella,cellular root;domain;clade;kingdom;clade;phylum;class;subclass;order;family;genus,131567;2759;33154;33208;6072;6073;6101;6102;6103;45349;45350
Nemogullmia,164077,18,66,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Foraminifera;Allogromida;Lagynidae;Nemogullmia,cellular root;domain;clade;clade;clade;phylum;clade;family;genus,131567;2759;2698737;543769;2662056;29178;196920;212497;164077
Neobodo,312470,43,74,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Neobodo,cellular root;domain;clade;phylum;class;subclass;order;genus,131567;2759;2611352;33682;5653;2704647;2704648;312470
Neobodonida.U.genus,2704648,221,929,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida,cellular root;domain;clade;phylum;class;subclass;order,131567;2759;2611352;33682;5653;2704647;2704648
Neocallimastigaceae.U.genus,188944,6,69,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Thaumatomonadida,cellular root;domain;clade;clade;phylum;class;clade;order,131567;2759;2698737;543769;136419;1736114;556185;188944
Neocallimastigomycota_XXX,5635,54,78,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Marasmiineae;Mycenaceae;Panellus,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class;subclass;order;suborder;family;genus,131567;2759;33154;4751;451864;5204;5302;155619;452333;5338;2982316;2024004;5635
Neocallimastix,4756,3,4,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Chytridiomycota;Chytridiomycota incertae sedis;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Neocallimastix,cellular root;domain;clade;kingdom;no rank;phylum;no rank;class;order;family;genus,131567;2759;33154;4751;112252;4761;2683659;451455;29006;29007;4756
Neocercomonas,268487,69,116,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Cercomonadida;Cercomonadidae;Neocercomonas,cellular root;domain;clade;clade;phylum;order;family;genus,131567;2759;2698737;543769;136419;188941;45108;268487
Neofabraea,33630,3,6,cellular organisms;Eukaryota;Sar;Alveolata,cellular root;domain;clade;clade,131567;2759;2698737;33630
Neogregarinorida.U.genus,238088,5,9,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Neogregarinorida,cellular root;domain;clade;clade;phylum;class;subclass;order,131567;2759;2698737;33630;5794;1280412;35086;238088
Neovahlkampfia,166955,211,780,cellular organisms;Eukaryota;Discoba;Heterolobosea;Tetramitia;Neovahlkampfiidae;Neovahlkampfia,cellular root;domain;clade;phylum;clade;family;genus,131567;2759;2611352;5752;2601529;2602010;166955
Neurospora,5140,13,243,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Sordariales;Sordariaceae;Neurospora,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;subclass;order;family;genus,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222544;5139;5148;5140
Nibbleromonas,1129544,2,9,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Glomeromycotina;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus,cellular root;domain;clade;kingdom;no rank;phylum;subphylum;class;order;family;genus,131567;2759;33154;4751;112252;1913637;214504;214506;36750;36751;1129544
Nolandellidae_X,NA,142,405,,,
Notosolenus,143937,10,15,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Dermateaceae;Neofabraea,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;order;family;genus,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147548;5178;76657;143937
Novel-Clade-4_X,NA,5,6,,,
Novel-Gran-6_X,NA,42,142,,,
Novel-clade-10_XX,5752,38,48,cellular organisms;Eukaryota;Discoba;Heterolobosea,cellular root;domain;clade;phylum,131567;2759;2611352;5752
Nucleariidae_Nuclearia_2_X,154966,11,30,cellular organisms;Eukaryota;Opisthokonta;Rotosphaerida;Nucleariidae,cellular root;domain;clade;order;family,131567;2759;33154;2686024;154966
OLIGO2_X,NA,13,158,,,
OLIGO5_XX,NA,4,4,,,
Oligohymenophorea.U.genus,439828,339,1781,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Xenospadicoidales;Xenospadicoidaceae;Spadicoides,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;subclass;order;family;genus,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222544;2081776;2081777;439828
Opalozoa.U.genus,57506,218,1086,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Stichotrichia;Sporadotrichida;Oxytrichidae,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family,131567;2759;2698737;33630;5878;431838;33829;194286;693921;57506
Opisthokonta.U.genus,33154,687,3638,cellular organisms;Eukaryota;Opisthokonta,cellular root;domain;clade,131567;2759;33154
Oribatida,194529,16,24,cellular organisms;Eukaryota;Discoba;Heterolobosea;Tetramitia;Eutetramitia;Psalteriomonadidae;Sawyeria,cellular root;domain;clade;phylum;clade;clade;family;genus,131567;2759;2611352;5752;2601529;2601530;1129782;194529
Oryza,4527,1,29,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Oryzoideae;Oryzeae;Oryzinae;Oryza,cellular root;domain;kingdom;phylum;subphylum;clade;clade;clade;clade;class;clade;clade;subclass;clade;order;family;clade;subfamily;tribe;subtribe;genus,131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147367;147380;1648021;4527
Ostreococcus,70447,293,6432,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2759;33090;3041;1035538;13792;1525212;70447
Panellus,256429,2,3,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Ceramiales;Rhodomelaceae;Polysiphonioideae;Digenea,cellular root;domain;phylum;class;subclass;order;family;subfamily;genus,131567;2759;2763;2806;2045261;2802;2803;2008651;256429
Paracalanus,163471,15,324,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Hexanauplia;Copepoda;Neocopepoda;Gymnoplea;Calanoida;Paracalanidae;Paracalanus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;superclass;class;subclass;infraclass;superorder;order;family;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6657;2172821;72037;6830;116569;116570;6833;163470;163471
Paracercomonas,372085,4,4,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Cercomonadida;Cercomonadidae;Paracercomonas,cellular root;domain;clade;clade;phylum;order;family;genus,131567;2759;2698737;543769;136419;188941;45108;372085
Paradinida_XX,NA,4,5,,,
Paradinium,492102,27,43,cellular organisms;Eukaryota;Sar;Rhizaria;Endomyxa;Ascetosporea;Paradiniida;Paradinium,cellular root;domain;clade;clade;phylum;class;order;genus,131567;2759;2698737;543769;2604748;1871466;2686029;492102
Paramecium,5884,65,547,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;Peniculida;Parameciidae;Paramecium,cellular root;domain;clade;clade;phylum;subphylum;class;order;family;genus,131567;2759;2698737;33630;5878;431838;6020;33825;340080;5884
Paramicrosporidium,1493516,2,8,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Cryptomycota;Cryptomycota incertae sedis;Paramicrosporidium,cellular root;domain;clade;kingdom;no rank;phylum;no rank;genus,131567;2759;33154;4751;112252;1031332;2683658;1493516
Paramoeba,200890,20,31,cellular organisms;Eukaryota;Amoebozoa;Discosea;Flabellinia;Dactylopodida;Paramoebidae;Paramoeba,cellular root;domain;clade;phylum;class;order;family;genus,131567;2759;554915;555280;1485085;555392;200887;200890
Parhypochthonius,45098,4,6,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Thaumatomonadida;Thaumatomastigidae,cellular root;domain;clade;clade;phylum;class;clade;order;family,131567;2759;2698737;543769;136419;1736114;556185;188944;45098
Paulinella,39716,17,24,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Euglyphida;Paulinellidae;Paulinella,cellular root;domain;clade;clade;phylum;class;clade;order;family;genus,131567;2759;2698737;543769;136419;1736114;556185;178369;39715;39716
Pelobiontida.U.genus,2682475,2,3,cellular organisms;Eukaryota;Amoebozoa;Evosea;Archamoebae;Pelobiontida,cellular root;domain;clade;phylum;clade;order,131567;2759;554915;2605435;555406;2682475
Penicillium,5073,100,2067,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Penicillium,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class;subclass;order;family;genus,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5073
Pentapharsodinium,37471,466,2001,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Phyllopharyngea,cellular root;domain;clade;clade;phylum;subphylum;class,131567;2759;2698737;33630;5878;431838;37471
Penthaleus,296206,5,143,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Eupodina;Eupodoidea;Penthaleidae;Penthaleus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;subphylum;class;subclass;superorder;order;suborder;clade;superfamily;family;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6854;6933;6946;83136;6947;83139;94819;296205;296206
Peritrichia_2.U.genus,6021,53,322,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;Peritrichia,cellular root;domain;clade;clade;phylum;subphylum;class;subclass,131567;2759;2698737;33630;5878;431838;6020;6021
Perkinsida_X.U.genus,45109,29,74,cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Cercomonadida;Cercomonadidae;Cercomonas,cellular root;domain;clade;clade;phylum;order;family;genus,131567;2759;2698737;543769;136419;188941;45108;45109
Perkinsida_XXX,27998,221,1396,cellular organisms;Eukaryota;Sar;Alveolata;Perkinsozoa;Perkinsea;Perkinsida,cellular root;domain;clade;clade;phylum;clade;order,131567;2759;2698737;33630;2497438;27997;27998
Peronosporales.U.genus,1871466,4,45,cellular organisms;Eukaryota;Sar;Rhizaria;Endomyxa;Ascetosporea,cellular root;domain;clade;clade;phylum;class,131567;2759;2698737;543769;2604748;1871466
Peronosporomycetes_X.U.genus,NA,44,130,,,
Petalomonadida.U.genus,2570648,422,1103,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Petalomonadida,cellular root;domain;clade;phylum;class;order,131567;2759;2611352;33682;3035;2570648
Petalomonas,56451,16,26,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Petalomonadida;Scytomonadidae;Petalomonas,cellular root;domain;clade;phylum;class;order;family;genus,131567;2759;2611352;33682;3035;2570648;2570650;56451
Pezizomycotina.U.genus,147538,987,5074,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum,131567;2759;33154;4751;451864;4890;716545;147538
Phaeodactylum,160061,15,37,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Psocodea;Phthiraptera;Amblycera;Ricinidae;Ricinus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;superorder;order;suborder;family;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33342;1930602;85819;50629;160060;160061
Phaeosphaeria,55067,172,1177,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Phaeosphaeriaceae;Phaeosphaeria,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;clade;class;subclass;order;suborder;family;genus,131567;2759;33154;4751;451864;4890;716545;147538;716546;715962;147541;451868;92860;715340;5020;55067
Phialophora,5600,15,31,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Herpotrichiellaceae;Phialophora,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;clade;class;subclass;order;family;genus,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;34395;43219;5600
Philaenus,30087,5,7,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Auchenorrhyncha;Cicadomorpha;Cercopoidea;Aphrophoridae;Philaenus,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;clade;clade;subphylum;class;clade;subclass;infraclass;cohort;order;suborder;infraorder;superfamily;family;genus,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6960;50557;85512;7496;33340;33342;7524;1955247;33365;33366;36666;30087
Phryganella,2217852,2,2,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Arcellinida;Phryganellina;Phryganellidae;Phryganella,cellular root;domain;clade;phylum;class;order;suborder;family;genus,131567;2759;554915;555369;2681632;318493;318517;2217851;2217852
Phryganellina.U.genus,318517,54,135,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Arcellinida;Phryganellina,cellular root;domain;clade;phylum;class;order;suborder,131567;2759;554915;555369;2681632;318493;318517
Phyllopharyngea.U.genus,37471,186,686,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Phyllopharyngea,cellular root;domain;clade;clade;phylum;subphylum;class,131567;2759;2698737;33630;5878;431838;37471
Physcomitrella,3217,28,50,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Funariidae;Funariales;Funariaceae;Physcomitrella,cellular root;domain;kingdom;phylum;subphylum;clade;clade;clade;class;subclass;order;family;genus,131567;2759;33090;35493;131221;3193;3208;404260;3214;114656;3215;3216;3217
Physochila,1165382,30,151,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Arcellinida;Glutinoconcha;Hyalospheniidae;Physochila,cellular root;domain;clade;phylum;class;order;suborder;family;genus,131567;2759;554915;555369;2681632;318493;3081561;318530;1165382
Phytomonas,33651,3,7,cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Bicosoecida,cellular root;domain;clade;clade;class;clade;order,131567;2759;2698737;33634;2683628;2683629;33651
Phytophthora,4783,67,1107,cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporales;Peronosporaceae;Phytophthora,cellular root;domain;clade;clade;phylum;order;family;genus,131567;2759;2698737;33634;4762;4776;4777;4783
Picomonas,1315712,51,366,cellular organisms;Eukaryota;Eukaryota incertae sedis;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas,cellular root;domain;no rank;phylum;class;order;family;genus,131567;2759;2683617;419944;1315720;1315716;1315717;1315712
Piromyces,320428,1,6,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Myxozoa;Myxosporea;Bivalvulida;Variisporina;Coccomyxidae;Coccomyxa,cellular root;domain;clade;kingdom;clade;phylum;class;subclass;order;suborder;family;genus,131567;2759;33154;33208;6072;6073;35581;35582;35583;109797;371542;320428
Plagiostomum,84130,12,25,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Rhabditophora;Prolecithophora;Separata;Plagiostomidae;Plagiostomum,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;order;clade;family;genus,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;147100;79788;79796;79797;84130
Plasmodiidae.U.genus,1639119,45,167,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae,cellular root;domain;clade;clade;phylum;class;order;family,131567;2759;2698737;33630;5794;422676;5819;1639119
Plasmodium1,5820,44,404,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium,cellular root;domain;clade;clade;phylum;class;order;family;genus,131567;2759;2698737;33630;5794;422676;5819;1639119;5820
